Username,Like_Count,Created_At,Comment
tommyelfan,0,2024-11-23 09:04:29,"Dia hanya menghormati agama di negaranya, jauh di lubuk hatinya tetap allah swt, aamiin"
gulsumcicek641,0,2024-11-23 08:29:22,Shahruk islamla ilgisi yok
turkish_ek_baar,0,2024-11-23 08:18:38,Bu adam Müslüman değil mi? Ne yaptığı belli değil.
anil.bhasme.16,0,2024-11-23 08:08:14,कलाकार किसी धर्म का नहीं होत है 🙏🙏🙏🙏 बहुत शानदार सर ji
softa_2024,1,2024-11-23 06:37:10,SYAHRUL KHAN SUDAH MURTAD DAN KAFIR DI MATA ALLAH
killer_king_555s,0,2024-11-23 06:31:19,
bad_boy86400,0,2024-11-23 04:51:52,Astagfirullah 😡
na.4.my_life,0,2024-11-23 00:38:26,Shame on him he called him self a Muslim
nouhailamajd,0,2024-11-22 17:48:27,لا حول ولا قوة إلا بالله العلي العظيم  زعما راه مسلم 😡
saniya_talat786,0,2024-11-22 13:47:06,Cchi😡
zay_ulfi,0,2024-11-22 11:59:33,Dia islam atau hindu ? 😂😂😂😂
rizkifebm,0,2024-11-22 09:38:14,Astaghfirullah itu musyrik 😡
zul_hong,0,2024-11-22 08:43:27,😡😡😡😡😡
biswajit_sahoo161,0,2024-11-22 08:02:09,He should not be allowed 😢😢...galat baat hai Bhai ye
_____.a4eeb._____,0,2024-11-22 06:13:44,😂
_____.a4eeb._____,1,2024-11-22 06:13:37,Shirk 🤕🥺
anthonyyy_9952,0,2024-11-21 12:04:24,"He is just a namesake Muslim, because he comes from muslim family, he doesn’t follow the teachings of Islam"
lukydenny,0,2024-11-21 07:42:06,Rahayu
the___surya_,0,2024-11-10 16:41:33,You can see this maturity only in bharat. That's why our country need to be secular.
shaikh_mohsin_05,0,2024-11-10 16:32:05,Anbhakto ki abhi bhi gand jal rahi hogi😂
bhalaram_deora,0,2024-11-10 16:16:58,🙏🙏
hamzahadi6694,0,2024-11-10 13:00:10,Toba
anaiza8492,0,2024-11-10 11:56:53,Astagfirullah
official__adarsh__9999,0,2024-11-10 11:31:58,Astagfirullah ❌gandmelulla✅
dream4964boy,0,2024-11-10 04:34:13,🙏🙏🙏🙏🕉️
mirza_najeeb_baig,0,2024-11-10 03:39:42,Nam ke Muslim Hain
kolipareshb31,0,2024-11-09 21:49:53,🙏🙏🙏🕉️
longsing.t,0,2024-11-09 18:51:59,गणपति बापा मौर्या🙏
aijaz_1z,0,2024-11-09 17:55:43,Teri maa ki  jai💀
shahjada6143,0,2024-11-09 15:28:32,Dosti or pyar me sb jayj hai
mohaali3582,0,2024-11-09 11:17:53,😡
nareshadapally,0,2024-11-09 08:00:50,🙏
kabir.khan669,0,2024-11-09 06:21:35,Tum Kitna bhi kar lo log tumhen musalmani bolenge🙏.. ine logon Ko kabhi dekhega nahin Ki Tum ek secular Hindustani Ho jab khud per baat a jayegi to bolenge to Musalman
dipika_ruidas_,0,2024-11-09 06:14:07,❤️❤️❤️
khalil8753,0,2024-11-08 17:35:54,Aur andhbhakt  log inko muslim samajh rahe
swapneel_official,0,2024-11-08 09:23:32,He is the real meaning of HINDUSTANI and THE REAL BEING HUMAN❤️ he proved before every religion there is an SIMPLE HUMAN ❤️🔥
arun_badigera,0,2024-11-07 09:24:51,SRK❤️
supriyanaskar0,0,2024-11-06 20:33:09,🕉️🌸🪔🤲🙏
cheetah.380161,0,2024-11-06 19:31:23,Astagfirullah
nadeem_rahi09,0,2024-11-06 19:00:32,Biwi ka age Sab jhuk jata hai bhai Muslim holkar Pooja kar raha  Akhir khob  king khan ko bhi  it's fanny 😂😂😂😂😂😂😂😂
amanat_ali_79,0,2024-11-06 18:30:33,Astagfirullah
prashant_gour_mrj,0,2024-11-06 15:31:49,Jai shree Ganesh 🙏🏻
addy.creates007,0,2024-11-06 15:11:23,Inki manager kya manage krti hain??? Means wts she do...?????
rama_gole_55,0,2024-11-06 14:31:15,❤️❤️🕉️🙏😍🔥
